image,xmin,ymin,xmax,ymax,label
images-148.png,67,359,163,452,rbc
images-148.png,339,387,435,480,rbc
images-148.png,407,328,520,422,rbc
images-148.png,444,229,544,321,rbc
images-148.png,420,126,522,223,rbc
images-148.png,352,202,440,302,rbc
images-148.png,119,104,228,199,rbc
images-148.png,287,74,402,188,rbc
images-148.png,47,12,158,123,rbc
images-148.png,185,1,308,111,rbc
images-148.png,43,179,152,274,rbc
images-148.png,1,218,109,313,rbc
images-148.png,208,166,321,270,rbc
images-148.png,479,21,594,135,rbc
images-148.png,529,147,634,254,rbc
images-148.png,525,373,630,480,rbc
images-148.png,552,251,640,352,rbc
images-148.png,305,1,407,79,rbc
images-174.png,73,30,181,134,rbc
images-174.png,41,133,147,254,rbc
images-174.png,260,321,366,442,rbc
images-174.png,107,360,209,449,rbc
images-174.png,146,372,248,461,rbc
images-174.png,1,267,79,371,rbc
images-174.png,366,254,458,350,rbc
images-174.png,406,139,513,235,rbc
images-174.png,431,1,538,96,rbc
images-174.png,279,26,386,122,rbc
images-174.png,488,53,600,162,rbc
images-160.png,166,180,266,287,rbc
images-160.png,33,127,133,234,rbc
images-160.png,557,150,640,272,rbc
images-160.png,244,17,337,107,rbc
images-160.png,17,1,111,68,rbc
images-389.png,20,255,137,355,rbc
images-389.png,116,329,223,430,rbc
images-389.png,5,361,112,462,rbc
images-389.png,210,255,321,388,rbc
images-389.png,496,139,603,240,rbc
images-389.png,551,1,640,101,rbc
images-389.png,494,245,602,361,rbc
images-389.png,543,344,640,467,rbc
images-389.png,1,94,108,210,rbc
images-389.png,131,1,241,95,rbc
images-389.png,117,170,226,288,rbc
images-389.png,386,318,494,458,rbc
images-438.png,14,275,115,381,rbc
images-438.png,1,374,101,480,rbc
images-438.png,343,366,444,472,rbc
images-438.png,294,386,384,480,rbc
images-438.png,333,248,423,342,rbc
images-438.png,198,1,282,133,rbc
images-438.png,460,146,548,253,rbc
images-438.png,495,145,583,252,rbc
images-438.png,543,158,640,260,rbc
images-438.png,520,267,630,371,rbc
images-438.png,310,183,399,266,rbc
images-438.png,533,1,640,74,rbc
images-376.png,349,249,476,362,rbc
images-376.png,255,277,363,402,rbc
images-376.png,163,317,264,399,rbc
images-376.png,132,349,242,434,rbc
images-376.png,1,376,96,476,rbc
images-376.png,85,90,165,186,rbc
images-376.png,532,147,629,253,rbc
images-376.png,445,364,550,463,rbc
images-376.png,437,54,548,159,rbc
images-376.png,303,53,395,141,rbc
images-376.png,254,28,344,122,rbc
images-410.png,112,140,221,242,rbc
images-410.png,79,45,176,148,rbc
images-410.png,1,254,112,366,rbc
images-410.png,111,345,222,454,rbc
images-410.png,120,258,238,363,rbc
images-410.png,232,52,349,186,rbc
images-410.png,413,121,531,226,rbc
images-410.png,529,265,640,373,rbc
images-410.png,1,1,126,100,rbc
images-410.png,522,73,617,197,rbc
images-404.png,17,235,114,335,rbc
images-404.png,210,272,307,372,rbc
images-404.png,325,134,445,238,rbc
images-404.png,270,57,380,158,rbc
images-404.png,160,1,283,86,rbc
images-404.png,190,153,298,253,rbc
images-404.png,428,379,536,480,rbc
images-404.png,477,196,585,297,rbc
images-404.png,487,16,575,98,rbc
images-404.png,525,122,613,204,rbc
images-404.png,1,321,115,439,rbc
images-404.png,111,308,225,406,rbc
images-362.png,509,177,614,291,rbc
images-362.png,448,1,563,102,rbc
images-362.png,340,261,453,371,rbc
images-362.png,239,364,344,471,rbc
images-362.png,123,362,228,469,rbc
images-362.png,137,44,242,151,rbc
images-362.png,212,149,326,259,rbc
images-362.png,458,275,562,374,rbc
images-362.png,415,332,519,431,rbc
images-202.png,224,166,320,276,rbc
images-202.png,206,300,302,410,rbc
images-202.png,1,283,115,403,rbc
images-202.png,145,126,242,233,rbc
images-202.png,333,282,430,389,rbc
images-202.png,1,181,88,276,rbc
images-202.png,134,1,216,68,rbc
images-202.png,556,179,640,296,rbc
images-202.png,461,260,558,367,rbc
images-202.png,555,1,640,99,rbc
images-202.png,388,166,491,265,rbc
images-202.png,537,374,640,473,rbc
images-202.png,400,73,494,176,rbc
images-216.png,30,168,140,264,rbc
images-216.png,12,35,109,133,rbc
images-216.png,25,352,137,452,rbc
images-216.png,109,318,221,418,rbc
images-216.png,158,240,273,361,rbc
images-216.png,248,346,345,441,rbc
images-216.png,350,292,453,382,rbc
images-216.png,329,58,451,168,rbc
images-216.png,170,1,300,101,rbc
images-216.png,168,110,277,203,rbc
images-216.png,203,152,293,230,rbc
images-216.png,388,1,538,76,rbc
images-216.png,524,221,637,301,rbc
images-216.png,470,122,553,205,rbc
images-216.png,511,94,606,201,rbc
images-217.png,457,164,553,251,rbc
images-217.png,501,261,586,351,rbc
images-217.png,570,303,640,406,rbc
images-217.png,472,353,579,445,rbc
images-217.png,44,310,136,403,rbc
images-217.png,25,394,138,479,rbc
images-217.png,121,274,244,394,rbc
images-217.png,162,140,259,249,rbc
images-217.png,19,1,98,87,rbc
images-217.png,153,47,254,137,rbc
images-217.png,232,415,318,480,rbc
images-217.png,95,38,192,158,rbc
images-217.png,574,208,640,300,rbc
images-217.png,225,223,321,310,rbc
images-203.png,8,119,117,222,rbc
images-203.png,276,1,385,103,rbc
images-203.png,408,40,521,152,rbc
images-203.png,550,218,640,326,rbc
images-203.png,441,234,540,332,rbc
images-203.png,261,161,369,266,rbc
images-203.png,264,238,371,360,rbc
images-203.png,203,318,321,409,rbc
images-203.png,286,375,405,480,rbc
images-203.png,111,158,250,296,rbc
images-203.png,457,124,593,242,rbc
images-203.png,213,77,322,180,rbc
images-405.png,463,73,558,188,rbc
images-405.png,292,75,387,190,rbc
images-405.png,202,11,330,115,rbc
images-405.png,115,18,215,108,rbc
images-405.png,71,101,171,191,rbc
images-405.png,162,109,262,199,rbc
images-405.png,106,189,209,293,rbc
images-405.png,159,348,262,452,rbc
images-405.png,205,195,308,299,rbc
images-405.png,383,376,543,472,rbc
images-363.png,1,164,89,257,rbc
images-363.png,46,67,171,177,rbc
images-363.png,289,88,396,196,rbc
images-363.png,357,185,454,271,rbc
images-363.png,97,320,230,441,rbc
images-363.png,13,324,99,395,rbc
images-377.png,184,105,287,227,rbc
images-377.png,75,85,186,204,rbc
images-377.png,291,195,407,333,rbc
images-377.png,500,313,609,417,rbc
images-377.png,269,54,366,155,rbc
images-377.png,128,1,222,72,rbc
images-377.png,479,172,576,273,rbc
images-377.png,508,28,626,143,rbc
images-377.png,1,170,90,279,rbc
images-377.png,415,322,501,417,rbc
images-377.png,387,96,484,197,rbc
images-411.png,20,192,109,296,rbc
images-411.png,314,277,423,371,rbc
images-411.png,477,196,590,289,rbc
images-411.png,488,303,601,408,rbc
images-411.png,377,82,490,187,rbc
images-411.png,112,56,207,148,rbc
images-411.png,164,388,259,480,rbc
images-411.png,397,366,492,458,rbc
images-411.png,233,15,328,107,rbc
images-411.png,319,249,428,343,rbc
images-411.png,41,204,130,308,rbc
images-439.png,333,174,421,274,rbc
images-439.png,312,16,416,119,rbc
images-439.png,173,51,252,140,rbc
images-439.png,453,291,538,383,rbc
images-439.png,408,219,501,315,rbc
images-439.png,460,119,553,215,rbc
images-439.png,287,369,394,480,rbc
images-439.png,1,204,68,310,rbc
images-439.png,201,355,303,469,rbc
images-439.png,28,12,119,120,rbc
images-388.png,396,113,492,207,rbc
images-388.png,183,119,277,285,rbc
images-388.png,372,205,477,316,rbc
images-388.png,490,91,624,235,rbc
images-388.png,527,1,640,97,rbc
images-388.png,92,264,202,370,rbc
images-161.png,405,331,503,429,rbc
images-161.png,352,207,455,312,rbc
images-161.png,332,90,410,193,rbc
images-161.png,528,156,618,254,rbc
images-161.png,509,317,599,415,rbc
images-161.png,52,395,161,480,rbc
images-161.png,176,132,277,213,rbc
images-161.png,549,49,640,150,rbc
images-161.png,473,249,576,354,rbc
images-175.png,178,350,278,438,rbc
images-175.png,162,141,262,229,rbc
images-175.png,205,30,314,143,rbc
images-175.png,95,1,198,81,rbc
images-175.png,287,260,389,367,rbc
images-175.png,448,128,550,235,rbc
images-175.png,430,243,525,337,rbc
images-175.png,423,385,518,480,rbc
images-175.png,369,18,434,87,rbc
images-175.png,2,57,98,137,rbc
images-175.png,353,123,454,224,rbc
images-175.png,22,154,122,242,rbc
images-149.png,180,109,277,204,rbc
images-149.png,65,150,154,255,rbc
images-149.png,488,90,595,198,rbc
images-149.png,415,262,511,352,rbc
images-149.png,561,349,640,436,rbc
images-149.png,370,174,467,264,rbc
images-149.png,175,1,256,71,rbc
images-149.png,364,325,494,426,rbc
images-149.png,1,126,83,252,rbc
images-149.png,502,1,596,97,rbc
images-149.png,288,354,384,444,rbc
images-149.png,285,139,381,229,rbc
images-149.png,250,8,367,110,rbc
images-149.png,377,42,492,158,rbc
images-188.png,262,151,366,245,rbc
images-188.png,169,23,273,117,rbc
images-188.png,496,178,584,248,rbc
images-188.png,533,285,640,389,rbc
images-188.png,84,366,193,442,rbc
images-188.png,10,66,99,184,rbc
images-188.png,365,151,485,268,rbc
images-188.png,299,265,404,369,rbc
images-188.png,573,1,640,70,rbc
images-188.png,377,393,473,476,rbc
images-188.png,11,324,102,410,rbc
images-163.png,509,147,621,254,rbc
images-163.png,444,146,514,258,rbc
images-163.png,345,219,457,328,rbc
